name-original-cap,name,alternative-fr,alternative-nl,alternative-de,alternative-en,alternative-wp,country-code,longitude,latitude,avg_stop_times,official_transfer_time
Halanzy,halanzy,,,,,,be,5.741347,49.5562,24.120112,300
Halle,halle,hal,,,,,be,4.240634,50.733931,374.430168,300
Ham-sur-Heure,ham-sur-heure,,,,,,be,4.404696,50.319555,32.899441,300
Ham-sur-Sambre,ham-sur-sambre,,,,,,be,4.669392,50.45255,110.793296,300
Hambos,hambos,,,,,,be,4.66301,50.944251,67.139665,300
Hamoir,hamoir,,,,,,be,5.533561,50.428181,30.472067,300
Hamont,hamont,,,,,,be,5.543279,51.246424,32.497207,300
Hansbeke,hansbeke,,,,,,be,3.536212,51.073202,185.069832,300
Harchies,harchies,,,,,,be,3.698764,50.482565,65.958101,300
Harelbeke,harelbeke,,,,,,be,3.314008,50.85586,102.51676,300
Haren,haren,,,,,,be,4.419978,50.888878,164.122905,300
Haren-Sud/Haren-Zuid,haren-sud/haren-zuid,haren-sud,haren-zuid,,,,be,4.415357,50.889696,322.410615,300
Hasselt,hasselt,,,,,,be,5.327627,50.930822,208.209497,300
Haute-Flône,haute-flone,,,,,,be,5.330333,50.55349,89.198324,300
Haute-Picardie TGV,haute-picardie tgv,,,,,,fr,2.802566,49.623044,0,
Haversin,haversin,,,,,,be,5.194371,50.249044,63.620112,300
Havre,havre,,,,,,be,4.059987,50.470754,89.103352,300
Heide,heide,,,,,,be,4.460483,51.364623,81.234637,300
Heist,heist,,,,,,be,3.239181,51.333979,38.50838,300
Heist-op-den-Berg,heist-op-den-berg,,,,,,be,4.708235,51.074146,85.203911,300
Heizijde,heizijde,,,,,,be,4.156171,50.989593,91.670391,300
Hellemmes,hellemmes,,,,,,fr,3.108892,50.626941,6.184358,300
Hemiksem,hemiksem,,,,,,be,4.338293,51.136243,54.01676,300
Hennuyères,hennuyeres,,,,,,be,4.175893,50.651005,163.039106,300
Herent,herent,,,,,,be,4.672188,50.90353,328.273743,300
Herentals,herentals,,,,,,be,4.829535,51.181513,138.891061,180
Hergenrath,hergenrath,,,,,,be,6.041335,50.718209,29.916201,240
Hergenrath-Frontiere,hergenrath-frontiere,,,,,,be,6.041269,50.718955,44.874302,120
Herne,herne,,,,,,be,4.014573,50.723701,41.374302,300
Herseaux,herseaux,,,,,,be,3.245959,50.713894,45.932961,300
Herstal,herstal,,,,,,be,5.622761,50.660911,117.268156,300
Herzele,herzele,,,,,,be,3.880616,50.89722,71.100559,300
Heusden,heusden,,,,,,be,5.281782,51.038207,30.329609,300
Hever,hever,,,,,,be,4.537637,50.997791,67.139665,300
Heverlee,heverlee,,,,,,be,4.6952,50.86253,54.879888,300
Hillegem,hillegem,,,,,,be,3.857469,50.891296,71.100559,300
Hoboken-Polder,hoboken-polder,,,,,,be,4.347785,51.182699,54.01676,300
Hoeilaart,hoeilaart,,,,,,be,4.467414,50.760161,158.377095,300
Hofstade,hofstade,,,,,,be,4.498336,50.988658,58.946927,300
Holleken,holleken,,,,,,be,4.353952,50.767631,180.567039,300
Hony,hony,,,,,,be,5.573563,50.539917,52.740223,300
Houraing,houraing,,,,,,be,3.835175,50.703062,37.296089,300
Hourpes,hourpes,,,,,,be,4.308736,50.363692,33.346369,300
Houyet,houyet,,,,,,be,5.006074,50.189868,26.877095,300
Hove,hove,,,,,,be,4.465157,51.154114,254.860335,300
Huizingen,huizingen,,,,,,be,4.266487,50.7519,68.388268,300
